fips,state,county,percent_pop_low_access_15,percent_low_income_low_access_15,percent_no_car_low_access_15,percent_snap_low_access_15,percent_child_low_access_15,percent_senior_low_access_15,percent_white_low_access_15,percent_black_low_access_15,percent_hispanic_low_access_15,percent_asian_low_access_15,percent_nhna_low_access_15,nhpi_low_access_15,percent_nhpi_low_access_15,percent_multiracial_low_access_15,grocery_per1000,super_per1000,convenience_per1000,specialty_per1000,snap_available_per1000,wic_available_per1000,obesity_rate,farmers_markets_per1000,pct_fm_accepting_snap,pct_fm_accept_wic,pct_fm_credit,fm_sell_frveg,pct_fm_sell_frveg,region,fi_rate,child_fi_rate,cost_per_meal,est_annual_food_budget_shortfall,snap_bens_per1000,school_lunch_prog_17,school_bfast_prog_17,smr_food_prog_17,wic_parts_pop_17,fast_food_per1000,full_service_per1000,pop_estimate,percent_white,percent_black,percent_native_american,percent_asian,percent_nhpi,percent_multi,percent_nonwhite_hispanic,median_household_income,obesity_category,class_category,grocery_access_score,supercenter_access_score,fullservice_access_score,farmersmarket_access_score,healthy_access_score,healthy_access_category,primary_minority
1001,AL,Autauga,0.32,0.12,0.03,0.05,0.08,0.04,0.23,0.08,0.01,0.0,0.0,8.817960727,0.0,0.01,0.0542711,0.0180904,0.560801766,0.0180904,0.804746805,0.090510845,30.9,0.01798528805,0.0,0.0,0.0,1.0,100.0,S,13.2,19.8,3.19,3957000.0,16.3546772,63.12658957,33.47535394,6.369005538,2.543569611,0.7959767,0.560801766,55036.0,75.4,19.1,0.3,0.9,0.1,0.4,2.7,58343.0,high,mid_class,1,2,2,2,7,medium,white
1003,AL,Baldwin,0.17,0.05,0.02,0.01,0.04,0.03,0.14,0.02,0.01,0.0,0.0,14.81963381,0.0,0.01,0.139752975,0.0337335,0.568650034,0.130114838,0.890835951,0.134802029,26.7,0.0183467716,0.0,0.0,50.0,3.0,75.0,S,11.6,18.9,3.57,14361000.0,11.47935963,63.12658957,33.47535394,6.369005538,2.543569611,0.751774622,1.137300069,203360.0,83.1,9.5,0.8,0.7,0.0,0.4,4.4,56607.0,med,mid_class,1,3,3,2,9,medium,white
1005,AL,Barbour,0.22,0.11,0.04,0.04,0.04,0.03,0.1,0.1,0.02,0.0,0.0,8.082375985,0.0,0.02,0.155195158,0.0387988,0.737177,0.077597579,1.424614167,0.232387006,40.8,0.1607652456,50.0,0.0,50.0,2.0,50.0,S,22.0,27.6,3.09,3035000.0,29.12214661,63.12658957,33.47535394,6.369005538,2.543569611,0.892372158,0.543183053,26201.0,45.7,48.0,0.2,0.6,0.0,0.3,4.2,32490.0,high,low_income,2,3,1,3,9,medium,black
1007,AL,Bibb,0.04,0.03,0.03,0.01,0.01,0.01,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.220916361,0.0441833,0.662749083,0.0,0.801423446,0.221474126,40.1,0.04464285821,0.0,0.0,0.0,0.0,0.0,S,14.3,22.1,3.05,1684000.0,17.55779076,63.12658957,33.47535394,6.369005538,2.543569611,0.309282905,0.309282905,22580.0,74.6,22.1,0.4,0.0,0.0,0.5,2.4,45795.0,high,lower_mid_class,2,3,1,2,8,medium,white
1009,AL,Blount,0.06,0.03,0.03,0.01,0.02,0.01,0.06,0.0,0.01,0.0,0.0,1.062851177,0.0,0.0,0.086862861,0.0173726,0.469059449,0.0,0.692373548,0.139089316,32.4,0.01728907414,0.0,100.0,0.0,1.0,100.0,S,10.7,21.2,3.1,3249000.0,12.3779726,63.12658957,33.47535394,6.369005538,2.543569611,0.39956916,0.208470866,57667.0,87.4,1.6,0.4,0.1,0.0,0.4,9.0,48253.0,high,lower_mid_class,1,2,1,2,6,low,white
1011,AL,Bullock,0.38,0.2,0.11,0.06,0.06,0.05,0.13,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.2873288,0.0,0.5746576,0.0,0.986193294,0.288989514,44.5,0.09863878787,0.0,0.0,0.0,0.0,0.0,S,24.8,27.9,3.23,1432000.0,31.25101089,63.12658957,33.47535394,6.369005538,2.543569611,0.2873288,0.095776267,10478.0,21.6,75.6,1.0,0.7,0.0,1.4,0.3,29113.0,high,low_income,3,1,1,3,8,medium,black
1013,AL,Butler,0.06,0.03,0.04,0.01,0.01,0.01,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.15026296,0.0500877,1.101928375,0.0,1.256830601,0.199710414,36.0,0.1016260162,0.0,0.0,0.0,1.0,50.0,S,20.6,24.7,2.92,2075000.0,27.97814178,63.12658957,33.47535394,6.369005538,2.543569611,0.901577761,0.450788881,20126.0,52.2,44.9,0.1,1.1,0.0,0.5,0.3,36842.0,high,lower_mid_class,1,3,1,3,8,medium,white
1015,AL,Calhoun,0.23,0.09,0.03,0.04,0.05,0.04,0.18,0.05,0.01,0.0,0.0,21.96150679,0.0,0.01,0.234823448,0.0347887,0.730561837,0.0086972,1.185412454,0.173885822,32.0,0.01750133373,50.0,0.0,50.0,2.0,100.0,S,15.7,22.6,2.95,9098000.0,22.04634666,63.12658957,33.47535394,6.369005538,2.543569611,0.826230649,0.652287354,115527.0,72.7,20.5,0.4,1.0,0.0,0.4,3.6,45937.0,high,lower_mid_class,2,3,2,2,9,medium,white
1017,AL,Chambers,0.21,0.1,0.05,0.04,0.05,0.04,0.13,0.08,0.0,0.0,0.0,0.061101226,0.0,0.0,0.207610404,0.0296586,0.652489842,0.0296586,1.05794995,0.17766723,39.8,0.02974862419,0.0,0.0,0.0,1.0,100.0,S,17.9,22.1,2.86,2961000.0,23.49489403,63.12658957,33.47535394,6.369005538,2.543569611,0.860100246,0.533855325,33895.0,56.2,39.3,0.3,1.0,0.0,0.4,2.2,36883.0,high,lower_mid_class,2,3,1,2,8,medium,white
1019,AL,Cherokee,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19405418,0.0388108,0.698595048,0.0,1.060318934,0.155183122,32.7,0.03841425851,0.0,0.0,100.0,1.0,100.0,S,12.5,20.6,3.25,1794000.0,16.68471527,63.12658957,33.47535394,6.369005538,2.543569611,0.58216254,0.465730032,25855.0,91.8,5.0,0.5,0.2,0.0,0.3,1.6,44842.0,high,lower_mid_class,2,3,1,2,8,medium,white
