fips,percent_no_car
01001,.0541
01003,.0335
01005,.0963
01007,.0570
01009,.0414
01011,.1659
01013,.0675
01015,.0591
01017,.0749
01019,.0372
01021,.0497
01023,.1038
01025,.1190
01027,.0320
01029,.0547
01031,.0552
01033,.0598
01035,.0613
01037,.0561
01039,.0475
01041,.0651
01043,.0403
01045,.0539
01047,.1320
01049,.0478
01051,.0430
01053,.0447
01055,.0682
01057,.0909
01059,.0435
01061,.0643
01063,.1428
01065,.1148
01067,.0635
01069,.0633
01071,.0489
01073,.0778
01075,.0653
01077,.0734
01079,.0482
01081,.0475
01083,.0400
01085,.1295
01087,.1453
01089,.0483
01091,.1156
01093,.0525
01095,.0496
01097,.0666
01099,.1164
01101,.0861
01103,.0493
01105,.1431
01107,.0976
01109,.0668
01111,.0570
01113,.0926
01115,.0323
01117,.0289
01119,.1394
01121,.0703
01123,.0875
01125,.0618
01127,.0557
01129,.0383
01131,.1604
01133,.0636
02013,.2241
02016,.1634
02020,.0586
02050,.5573
02060,.0754
02068,.0192
02070,.3972
02090,.0508
02100,.0773
02105,.2855
02110,.0783
02122,.0662
02130,.1097
02150,.0721
02164,.4902
02170,.0356
02180,.5523
02185,.3797
02188,.6312
02195,.1602
02198,.1158
02220,.1588
02230,.0875
02240,.0594
02261,.0698
02270,.8744
02275,.1365
02282,.1255
02290,.5166
04001,.1111
04003,.0512
04005,.0507
04007,.0654
04009,.0582
04011,.0259
04012,.0742
04013,.0632
04015,.0530
04017,.0968
04019,.0853
04021,.0439
04023,.0445
04025,.0417
04027,.0614
05001,.0875
05003,.0662
05005,.0395
05007,.0295
05009,.0561
05011,.1244
05013,.0427
05015,.0572
05017,.1490
05019,.0734
05021,.0825
05023,.0294
05025,.0489
05027,.0616
05029,.0668
05031,.0734
05033,.0386
05035,.1137
05037,.0727
05039,.1034
05041,.1417
05043,.0598
05045,.0462
05047,.0530
05049,.0457
05051,.0731
05053,.0289
05055,.0391
05057,.0825
05059,.0472
05061,.0843
05063,.0533
05065,.0619
05067,.0723
05069,.0926
05071,.0585
05073,.0997
05075,.0535
05077,.1457
05079,.0832
05081,.0749
05083,.0548
05085,.0517
05087,.0436
05089,.0611
05091,.0771
05093,.0976
05095,.1418
05097,.0508
05099,.0771
05101,.0314
05103,.0874
05105,.0498
05107,.1792
05109,.0461
05111,.0759
05113,.0557
05115,.0563
05117,.0594
05119,.0720
05121,.0713
05123,.1179
05125,.0368
05127,.0818
05129,.0501
05131,.0708
05133,.0521
05135,.0461
05137,.0446
05139,.0490
05141,.0556
05143,.0590
05145,.0571
05147,.1242
05149,.0406
06001,.0978
06003,.0526
06005,.0414
06007,.0690
06009,.0338
06011,.0430
06013,.0561
06015,.0968
06017,.0471
06019,.0869
06021,.0640
06023,.0734
06025,.0743
06027,.0851
06029,.0706
06031,.0685
06033,.0727
06035,.0586
06037,.0920
06039,.0624
06041,.0493
06043,.0321
06045,.0684
06047,.0709
06049,.0401
06051,.0384
06053,.0469
06055,.0511
06057,.0421
