fips,pop_white,pop_black,pop_native_american,pop_asian,pop_nhpi,pop_multi,pop_nonwhite_hispanic
1001,41509,10510,169,516,43,920,1467
1003,168951,19414,1668,1405,0,3321,9029
1005,11985,12588,54,165,0,216,1104
1007,16849,4979,82,0,0,188,531
1009,50381,915,212,84,0,986,5197
1011,2264,7925,110,73,0,69,35
1013,10515,9030,13,224,0,298,64
1015,84006,23735,413,1149,7,2631,4121
1017,19045,13335,95,339,0,334,730
1019,23731,1287,125,50,0,270,409
1021,35207,4184,254,187,0,766,3371
1023,7420,5583,4,8,0,130,71
1025,13057,11246,14,127,22,108,58
1027,10753,1979,120,6,0,131,417
1029,13842,424,43,81,0,213,356
1031,36261,8834,542,659,0,1642,3402
1033,42877,8722,404,274,19,1075,1313
1035,6362,5879,21,4,0,249,231
1037,7150,3640,9,0,0,141,16
1039,31320,4937,124,158,8,457,586
1041,9872,3271,113,194,0,236,253
1043,75434,948,350,528,3,1095,3466
1045,34306,9606,257,503,9,1941,2994
1047,11306,28677,16,183,23,267,409
1049,57507,1040,963,208,640,1730,10178
1051,59460,17338,281,461,0,1264,2316
1053,22661,12128,1371,149,54,505,809
1055,80750,16039,729,706,71,1520,3794
1057,14163,2019,0,78,0,320,277
1059,24474,1528,291,117,32,244,5146
1061,22318,2440,179,106,0,559,1004
1063,1459,6853,54,0,0,167,101
1065,5925,8802,25,26,0,38,196
1067,11757,4762,5,0,0,151,435
1069,69963,27844,403,899,22,2088,3366
1071,46738,1699,573,238,67,1502,1493
1073,332267,280804,1550,10187,184,10365,24692
1075,12061,1520,45,0,0,83,212
1077,78605,9316,339,626,23,1561,2285
1079,25492,3801,1730,18,0,1758,701
1081,105864,36139,166,6000,12,2812,5813
1083,70776,12042,724,1165,62,1967,5323
1085,2515,7722,9,0,0,72,71
1087,2992,15903,55,38,0,155,315
1089,230104,85332,2172,9034,341,10487,16734
1091,8909,10689,11,0,0,37,88
1093,27637,1003,128,96,0,567,741
1095,77467,2091,654,534,48,1755,12600
1097,238405,146423,2545,8127,54,7755,11416
1099,11842,9029,274,116,0,353,286
1101,79926,130076,404,5567,51,4175,7628
1103,91006,14790,669,779,55,2600,9485
1105,2843,6735,7,23,0,0,67
1107,10914,8189,22,13,10,300,826
1109,18759,12648,213,731,2,680,282
1111,16955,4500,48,36,36,418,665
1113,27955,24946,213,424,140,2313,3050
1115,74972,8126,241,732,11,1115,2003
1117,163877,24669,468,3973,56,3732,12045
1119,3217,9268,68,392,0,66,34
1121,51055,26004,294,469,22,1381,1791
1123,28081,11216,176,160,0,319,968
1125,127567,63965,346,3135,67,2359,7128
1127,58038,3963,100,306,0,1179,1531
1129,10907,4120,1270,159,0,219,81
1131,2937,7874,6,0,0,50,52
1133,22556,124,65,70,19,429,717
2013,516,175,1273,874,46,207,324
2016,1435,295,680,2213,150,425,780
2020,176518,16335,21682,27815,7069,29015,26415
2050,1826,120,14847,165,4,760,393
2060,461,4,317,13,3,82,41
2068,1905,4,50,109,0,223,17
2070,808,22,3627,75,0,345,155
2090,71100,4251,6847,3132,535,8062,7714
2100,2003,1,194,100,5,167,71
2105,935,62,839,58,2,179,117
2110,21214,343,3611,2381,311,3005,2067
2122,46943,311,4229,863,191,3475,2293
2130,8854,75,1942,1103,5,1294,655
2150,6901,27,1825,3048,157,986,1219
2158,307,63,7359,41,0,338,132
2164,283,9,879,28,3,88,20
2170,80824,1138,5193,1313,196,8576,4666
2180,1466,75,7257,141,29,740,234
2185,3052,64,5084,565,185,606,401
2188,856,58,6311,68,1,296,196
2195,2199,19,235,222,36,253,346
2198,2931,10,2632,74,40,658,238
2220,5498,85,1262,608,37,1053,555
2230,816,9,69,42,0,52,71
2240,5162,119,794,132,3,406,356
2261,6628,13,1342,267,58,796,453
2275,1595,4,548,77,0,213,78
2282,298,6,198,37,9,111,38
2290,1164,5,3869,40,0,302,117
4001,13212,364,52488,248,61,1622,4374
4003,70407,4786,1548,2298,507,5753,44275
4005,75269,1986,36850,2590,196,4955,19265
4007,33360,300,8419,467,0,1529,9910
4009,19292,750,4974,279,59,978,12264
4011,4457,191,379,33,0,38,4348
4012,12027,177,2609,162,46,631,5383
4013,2340105,222363,78683,163988,8881,143999,1271746
4015,159694,2208,4830,2528,272,4637,32591
4017,44929,889,47642,663,121,3422,12054
4019,529974,34872,34765,27969,1582,45219,368612
4021,232950,18273,20386,7013,1441,14527,120075
4023,6974,236,217,395,0,490,38653
4025,178765,1169,3762,2122,67,4945,31508
4027,65003,4267,2630,2662,131,5163,128465
5001,12874,4852,3,2,0,194,543
5003,14126,5309,49,0,0,184,1083
5005,39079,74,207,160,11,604,879
5007,186902,4144,3752,9303,1180,6903,40980
5009,35067,143,395,189,32,595,866
5011,6143,3220,183,0,0,31,1625
5013,3771,1156,7,11,10,49,203
5015,22392,372,202,287,177,606,4101
5017,4309,5963,44,55,0,72,571
5019,15540,5368,74,157,0,341,1035
5021,14547,104,75,0,0,188,289
5023,24048,150,181,205,0,162,623
5025,7057,919,32,8,0,176,148
5027,14242,8386,74,264,0,172,610
5029,17139,2344,71,21,0,634,796
5031,80625,13979,580,1193,154,3074,5095
5033,52830,830,1233,1138,0,1998,4532
5035,21277,24164,141,325,62,2295,1177
5037,12523,3914,7,11,0,410,325
5039,4037,3060,32,124,18,115,233
5041,5531,5744,27,18,0,128,700
5043,12463,5358,18,31,0,179,571
5045,97800,13843,443,1556,159,2747,4855
