fips,pop_est_over_16,pop_black,pop_native_american,pop_asian,pop_nhpi,pop_multi,pop_hispanic,pop_white,total_educated_pop,total_educated_less_than_hs_25_64,total_educated_hs_25_64,total_educated_some_college_or_associates_25_64,total_educated_bachelors_or_higher_25_64,labor_force_employed_over_16,labor_force_25_64,labor_force_25_64_less_hs_degree,labor_force_25_64_hs_degree,labor_force_25_64_some_college_associates,labor_force_25_64_bachelors,total_temployed_pop_over_16,employed_black_pop,employed_native_american_pop,employed_asian_pop,employed_nhpi_pop,employed_multi_pop,employed_hispanic_pop,employed_white_pop,employed_25_64,employed_25_64_less_hs_degree,employed_25_64_hs_degree,employed_25_64_some_college_associates,employed_25_64_bachelors,total_unemployment_rate_over_16,unemployed_black_pop,unemployed_native_american_pop,unemployed_asian_pop,unemployed_nhpi,unemployed_multi_pop,unemployed_hispanic_pop,unemployed_white_pop,unemployed_25_64,unemployed_25_64_less_hs_degree,unemployed_25_64_hs_degree,unemployed_25_64_some_college_associates,unemployed_25_64_bachelors
1001,42974,8018,92,422,43,586,1003,32915,28914,3155,9419,8731,7609,60.3,74.7,49.4,69.1,77.8,88.4,56.1,53.9,48.9,63.5,39.5,57,77.4,55.9,70.1,43.8,66.5,72.4,82.9,5.2,6.1,0,0,0,3.7,11.5,4.8,3.9,11.4,3.5,5,1.4
1003,163759,14603,1475,1250,0,1929,5946,138857,104335,9578,28259,34401,32097,58,74,54.2,68.9,75.9,82.2,54.7,50.5,43.7,43.4,-,54.9,68.3,54.8,70.1,49,64.2,71.9,79.8,5.5,8.8,5.6,7,-,5.2,4.7,5.2,4.9,9.6,6.3,5,2.7
1005,21241,9934,54,118,0,147,686,10291,13863,3376,4933,3884,1670,47.7,57.9,38.9,54.4,69.4,79.9,41.8,36.8,51.9,50.8,-,57.1,57.4,45,51,32.1,45.8,62.1,79,12.4,19.7,0,0,-,0,3,7,11.8,17.4,15.7,10.5,1.1
1007,18415,4140,82,0,0,172,413,13654,12457,1779,5342,3507,1829,48.3,59.1,24.1,57.2,70.8,76.3,44.4,34.2,64.6,-,-,53.5,56.9,46.9,55.1,22.5,54,64,72.7,8.2,12.2,11.7,-,-,14,1.3,7.4,6.8,6.5,5.6,9.5,4.7
1009,45924,724,190,66,0,582,3354,41097,29467,5456,9023,11087,3901,49,64.2,48.1,58.4,71.4,79.5,46.6,39.2,48.9,53,-,42.1,46.1,46.7,61.6,43.9,56.4,69,77.3,4.9,2.4,0,10.3,-,6.5,4,5,3.9,8.7,3.1,3.2,2.8
1011,8517,6211,110,37,0,69,35,2053,5787,1610,2296,1200,681,57.3,68.6,52.1,75.1,73.2,77.5,50.4,48.9,42.7,45.9,-,84.1,0,55,61.5,43.8,73.6,59.3,66.4,12.1,15.1,0,0,-,0,-,4.2,10.4,16,2.1,19,14.4
1013,16078,6912,13,212,0,154,64,8755,10227,1681,4201,2755,1590,52.2,67.3,39.9,68.3,73.3,83.3,48.1,46.3,46.2,76.4,-,41.6,50,49,62.6,32.3,64.3,68.8,79.1,7.6,11,0,0,-,0,22,5.2,6.8,19,5.9,5.3,5.1
1015,93148,18692,312,887,7,1388,2691,69530,59970,9087,18563,21473,10847,56.9,70.9,49.2,68.8,74.9,84.6,50.9,49.1,29.5,62.6,0,43,61.2,51,64.2,41.8,60.4,68.8,80.2,10.1,16,29.2,2.8,-,27.2,12.7,8,8.9,15.1,11.9,7.6,4.2
1017,27447,10542,95,313,0,197,355,15945,17398,2680,6832,5535,2351,56.6,71.6,47.5,72.5,75.8,86.5,52.9,55.2,43.2,90.4,-,31,69,50.7,68,40.7,69.8,71.7,85.2,6.4,6.9,28.1,0,-,0,0,6.4,4.9,14.4,3.8,5.1,1.5
1019,21387,1011,72,35,0,233,299,19754,13375,2316,4833,4412,1814,48.8,64.3,43.4,62.3,69.5,84,46.2,51.1,47.2,0,-,15.5,29.8,46.6,61.7,37.8,60.6,67.1,82.3,5.3,2.1,0,-,-,35.7,33.6,5,4.1,12.9,2.7,3.5,2
1021,34509,3354,254,134,0,296,2160,28425,22907,3932,9944,5602,3429,55,66.7,52.5,64.4,72,80.9,51.2,43.3,35,27.6,-,51.7,59.4,51.6,63.3,45.5,61,69.7,79.8,6.7,11.1,0,0,-,0,8.4,6.2,5,13.3,5.2,2.9,1.3
1023,10850,4571,4,8,0,109,38,6130,6613,1099,2400,2263,851,44,58,33.1,51.2,67.6,83.7,39.6,33.5,0,100,-,55,65.8,43.8,55.4,27.4,49.9,64.9,82.1,9.8,13.6,100,0,-,0,0,7.7,4.4,17.3,2.5,4,1.8
1025,19863,8863,14,117,9,62,43,10762,12377,1970,5675,3169,1563,47.1,60,33.1,57.7,72,77.4,39.9,34.9,78.6,65,100,75.8,62.8,43.5,52.6,26.2,47.9,67,73.8,15.2,21.9,0,0,0,0,0,10.6,12.3,21,17.1,6.9,4.6
1027,10878,1539,72,6,0,89,285,8899,6847,1799,2203,2161,684,54.1,67,48.8,73.4,73.4,73.8,50.6,49.4,45.8,100,-,0,70.2,50.7,63.8,46.7,70.9,68.9,70,6.4,2.9,0,0,-,100,0,6.6,4.7,4.3,3.3,6.1,5.1
1029,11843,381,43,37,0,66,218,11115,7627,1525,2787,2282,1033,52.9,66.4,48.5,68.4,69,81.7,48.5,17.3,76.7,67.6,-,84.8,46.8,49.3,61.8,45,63.6,64.5,75.5,7.8,31.3,0,0,-,0,19,7.4,6.5,7.2,7,6.6,4.3
1031,40416,6949,465,575,0,834,2209,29484,26584,3573,7545,9265,6201,59.7,73.7,54.5,65,79,87.5,53.5,52.4,56.3,46.6,-,41.8,62.1,53.7,66.8,48.3,59.8,72.5,77.2,6,9.8,3.3,0,-,18.1,3.4,5.2,5.2,11.3,6.4,3.6,4.1
1033,44236,7147,315,240,19,347,806,35427,28133,3871,9048,9780,5434,54,69.6,54.4,65.1,71.4,84.6,50.1,47.5,38.7,56.7,21.1,34.9,75.7,50.3,65.6,46.7,61.5,67.8,82,6.9,12.4,17.6,12.8,0,17.7,5.4,5.8,5.6,14.1,5.6,4.6,3
1035,10118,4494,21,4,0,103,81,5415,6108,1020,2972,1508,608,45.6,59.2,50.4,58.6,61.6,70.9,39,39.9,23.8,0,-,10.7,72.8,38.4,52.7,39.3,53.5,55.2,65.3,14.5,19.6,0,-,-,0,0,10,10.9,22,8.7,10.4,7.9
1037,9295,3119,9,0,0,5,16,6147,5813,1209,2304,1680,620,47.3,57.7,30.2,65.2,64.9,64.2,41.9,36.6,11.1,-,-,0,56.3,44.7,51.8,21.2,60.2,57.8,64.2,11.3,20.4,0,-,-,100,0,6.8,10.2,29.9,7.7,11,0
